rowid,kepid,tce_plnt_num,tce_period,tce_time0bk,tce_duration,av_training_set
AABeEpAAAAAD/oRAAE,1164109,1,622.408,162.256,12.01,UNK
AABeEpAAAAAD/1yAAC,757450,1,8.88492,134.452,2.0780000000000003,PC
AABeEpAAAAAGD9YAAA,892667,1,2.26211,132.171,7.5089999999999995,NTP
AABeEpAAAAAGEKQAAD,892772,1,5.0926,133.451,3.3989999999999996,AFP
AABeEpAAAAAGEafAAE,1028018,1,0.614378,131.65200000000002,1.4480000000000002,UNK
AABeEpAAAAAGEazAAD,1026957,1,21.7613,144.779,1.2770000000000001,AFP
AABeEpAAAAAGEooAAE,1161345,1,4.28758,133.434,1.113,PC
AABeEpAAAAAGYC/AAE,1574792,1,1.39175,131.572,3.33,NTP
AABeEpAAAAAGYDAAAA,1575690,1,1.1262,132.441,1.632,AFP
AABeEpAAAAAGYDAAAC,1575873,1,0.629008,131.55100000000002,1.421,AFP
AABeEpAAAAAGYDBAAE,2019227,1,2.98032,132.415,8.03,NTP
AABeEpAAAAAGYDCAAA,2019297,1,3.7942400000000003,132.645,6.716,UNK
AABeEpAAAAAGYDEAAE,2307197,1,449.504,266.033,9.138,UNK
AABeEpAAAAAGYDFAAE,2439243,1,26.0204,154.52700000000002,4.737,PC
AABeEpAAAAAGYDGAAA,2439469,1,21.1653,137.638,15.21,UNK
AABeEpAAAAAGYDGAAC,2439660,1,0.6683279999999999,131.84,1.7890000000000001,UNK
AABeEpAAAAAGYDIAAA,2578072,1,0.9682459999999999,132.411,6.848,AFP
AABeEpAAAAAGYDLAAA,2714947,1,0.968245,132.45600000000002,5.362,AFP
AABeEpAAAAAGYDLAAC,2714954,1,0.9681549999999999,132.518,1.23,AFP
AABeEpAAAAAGYDMAAC,2721835,1,1.45433,132.138,5.705,UNK
AABeEpAAAAAGYDMAAE,2722074,1,1.93859,131.79,7.167999999999999,NTP
AABeEpAAAAAGYDSAAE,2857607,1,41.8668,147.006,5.656000000000001,PC
AABeEpAAAAAGYDTAAE,2860114,1,0.9415979999999999,132.037,0.9807,AFP
AABeEpAAAAAGYDWAAC,2439798,1,459.31300000000005,260.216,2.5869999999999997,NTP
AABeEpAAAAAGYDYAAA,2970670,1,0.9475370000000001,131.889,1.058,UNK
AABeEpAAAAAGYDaAAE,2974815,1,0.731707,131.968,1.064,UNK
AABeEpAAAAAGYDbAAA,2974858,1,0.9962979999999999,131.835,3.803,NTP
AABeEpAAAAAGYDbAAE,2714955,1,0.982769,132.08,5.315,NTP
AABeEpAAAAAGYDcAAA,2984505,1,3.04949,132.692,5.135,UNK
AABeEpAAAAAGYDdAAC,2985587,1,3.37572,134.213,1.2930000000000001,PC
AABeEpAAAAAGYDdAAE,2985767,1,14.0797,139.958,1.44,PC
AABeEpAAAAAGYDeAAC,2988768,1,459.31199999999995,260.216,3.7969999999999997,NTP
AABeEpAAAAAGYDeAAE,2988783,1,0.7661939999999999,131.77700000000002,1.9180000000000001,UNK
AABeEpAAAAAGYDfAAC,1293379,1,27.5557,132.201,9.514,UNK
AABeEpAAAAAGYDgAAC,1294756,1,0.53025,131.971,2.75,UNK
